Emoji,Unicode Name,Description
🚂,Locomotive,freight transport passengers
🚂,Locomotive,freight and passenger
🚂,Locomotive,cargo and passengers
☀️,Sun,star
🖋️,Fountain Pen,fountain
🐶,Dog Face,animal puppy
🐶,Dog Face,sweet puppy
🐶,Dog Face,animal welfare
🐶,Dog Face,skinny puppy
🍎,Red Apple,skin apple
🍎,Red Apple,candy apple
🍎,Red Apple,skin color
🍔,Hamburger,patty burger
🍔,Hamburger,jimmy burger
🍔,Hamburger,patty griffin
🍔,Hamburger,patty hearst
🤣,Rolling on the Floor Laughing,laughter
🤣,Rolling on the Floor Laughing,laughing
🔦,Flashlight,light in dark
🔦,Flashlight,light in blue
🔦,Flashlight,light or dark
💰,Money Bag,rich and wealthy
💰,Money Bag,prosperous and wealthy
💰,Money Bag,powerful and wealthy
💰,Money Bag,rich or wealthy
🍰,Shortcake,pastry
⚽,Soccer Ball,goals
🚀,Rocket,blast off
🚀,Rocket,blastoff
🚀,Rocket,hats off
🚀,Rocket,blast blast
🎾,Tennis,grand
📸,Camera with Flash,lens camera
📸,Camera with Flash,single camera
📸,Camera with Flash,digital camera
😂,Face with Tears of Joy,hysterical
🌍,Globe Showing Europe-Africa,planet
✨,Sparkles,shimmering in the sun
✨,Sparkles,dancing in the sun
✨,Sparkles,shimmering beneath the sun
✨,Sparkles,shimmering in midday sun
🍰,Shortcake,piece of pastry
🍰,Shortcake,piecewise pastry
🍰,Shortcake,piece of furniture
🍰,Shortcake,piece a pastry
💊,Pill,pharmacy item
💊,Pill,pharmacy institute
💊,Pill,household item
💊,Pill,pharmacy journal
✨,Sparkles,clean
📍,Round Pushpin,fixed mark
📍,Round Pushpin,saint mark
📍,Round Pushpin,fixed points
📍,Round Pushpin,st mark
🔑,Key,key secret
🔑,Key,deadly secret
🔑,Key,keyword
🔑,Key,top secret
💰,Money Bag,prosperity bag
💰,Money Bag,sleeping bag
🍷,Wine Glass,merlot wine
🍷,Wine Glass,sparkling wine
🍷,Wine Glass,white wine
🍷,Wine Glass,merlotta
😍,Smiling Face with Heart-Eyes,heart for you
😍,Smiling Face with Heart-Eyes,heart for love
😍,Smiling Face with Heart-Eyes,pray for you
📍,Round Pushpin,specific spot
📍,Round Pushpin,specificities
📍,Round Pushpin,playoff spot
💊,Pill,pill
🚲,Bicycle,riding
🔨,Hammer,construction work
🔨,Hammer,restoration work
🔨,Hammer,charity work
🧼,Soap,hygiene product
🧼,Soap,end product
🧼,Soap,hygiene education
🧼,Soap,hygiene department
⌚,Watch,seconds watch
⌚,Watch,seconds delay
⌚,Watch,night watch
🔬,Microscope,medical microscope
🔬,Microscope,medical ethics
🔬,Microscope,optical microscope
🧹,Broom,chore
🖼️,Framed Picture,art
🔦,Flashlight,search
🌡️,Thermometer,tube
🔑,Key,symbolic
🍺,Beer Mug,celebration
🍺,Beer Mug,drink
🍎,Red Apple,eating
😎,Smiling Face with Sunglasses,cool
🔒,Locked,digital security
🔒,Locked,cyber security
🔒,Locked,homeland security
🔒,Locked,social security
📸,Camera with Flash,pro photographer
📸,Camera with Flash,photographer
📸,Camera with Flash,camera
✂️,Scissors,haircutting tool
✂️,Scissors,haircutting techniques
✂️,Scissors,haircutting
🙄,Face with Rolling Eyes,feeling impatient right now
🙄,Face with Rolling Eyes,very impatient right now
🙄,Face with Rolling Eyes,feeling impatient right away
🎈,Balloon,balloon air
🎈,Balloon,balloon landing
📈,Chart Increasing,chart
🤣,Rolling on the Floor Laughing,completely ridiculous and funny
🤣,Rolling on the Floor Laughing,completely ridiculous and stupid
🤣,Rolling on the Floor Laughing,completely ridiculousally funny
🤣,Rolling on the Floor Laughing,completely ridiculous and ridiculous
😍,Smiling Face with Heart-Eyes,beautiful face
😍,Smiling Face with Heart-Eyes,doll face
😍,Smiling Face with Heart-Eyes,smiley face
😍,Smiling Face with Heart-Eyes,beautiful skies
💡,Light Bulb,glowing yellow light
💡,Light Bulb,glowing yellow wings
💡,Light Bulb,pale yellow light
💡,Light Bulb,glowing yellow clouds
❄️,Snowflake,cold snow
❄️,Snowflake,phoebe snow
❄️,Snowflake,coldwater
🍺,Beer Mug,craft beer
🍺,Beer Mug,crafting
🍺,Beer Mug,craftcraft
🧸,Teddy Bear,child
👍,Thumbs Up,roger that
👍,Thumbs Up,suppose that
👍,Thumbs Up,note that
🥗,Green Salad,vegan meal option
🥗,Green Salad,instant meal option
💀,Skull,bony
🍷,Wine Glass,dining wine
🍷,Wine Glass,dining hall
🍷,Wine Glass,dining rooms
🍷,Wine Glass,dining room
🔑,Key,answer
☕,Hot Beverage,drink cup
☕,Hot Beverage,drinkout
🙏,Folded Hands,thankful heart
🙏,Folded Hands,broken heart
🙏,Folded Hands,thankfulness
🙏,Folded Hands,my heart
⌚,Watch,track
🔬,Microscope,microscope lab
🔬,Microscope,science lab
🔬,Microscope,microscopearium
📑,Bookmark Tabs,tool organization
📑,Bookmark Tabs,toolkit
📑,Bookmark Tabs,toolworks
📑,Bookmark Tabs,toolbox
📏,Straight Ruler,drawing accurate lines
📏,Straight Ruler,drawing accurate maps
📏,Straight Ruler,drawing vertical lines
🚂,Locomotive,train steam
🚂,Locomotive,compressed steam
🚂,Locomotive,train service
🖋️,Fountain Pen,quality
🖋️,Fountain Pen,pen
🏮,Red Paper Lantern,traditional
🔬,Microscope,project
🏀,Basketball,court ball
🤔,Thinking Face,what do you mean
🤔,Thinking Face,how do you mean
👍,Thumbs Up,sounds perfect
👍,Thumbs Up,pitch perfect
👍,Thumbs Up,soundscape
🧼,Soap,liquid soap
🧼,Soap,liquid crystals
🧼,Soap,liquid helium
🍰,Shortcake,delicious sugar treat
🍰,Shortcake,delicious potato treat
🍰,Shortcake,delicious chocolate treat
🐶,Dog Face,dog puppy
🐶,Dog Face,dogma
🐶,Dog Face,wee puppy
🧸,Teddy Bear,brown
🧹,Broom,broom house
🧹,Broom,broomfield
🧹,Broom,manor house
😂,Face with Tears of Joy,im wheezing
😂,Face with Tears of Joy,loud wheezing
😂,Face with Tears of Joy,nasal wheezing
🚽,Toilet,toilet hygiene
🚽,Toilet,oral hygiene
🚽,Toilet,toilet cleaner
🚽,Toilet,toilet stall
🍺,Beer Mug,party beer
🍺,Beer Mug,party list
🍺,Beer Mug,party affiliation
🍺,Beer Mug,celebration with alcohol
🍺,Beer Mug,celebration with applause
🍺,Beer Mug,experimenting with alcohol
🍺,Beer Mug,celebration of alcohol
🌡️,Thermometer,weather thermometer
🌡️,Thermometer,gas thermometer
🌡️,Thermometer,electron thermometer
🌡️,Thermometer,weather reports
🚲,Bicycle,bike wheels
🚲,Bicycle,bikewalk
🚲,Bicycle,bike shop
📂,Open File Folder,storage
☕,Hot Beverage,hot
🕯️,Candle,peaceful
💀,Skull,spooky skeleton head
💀,Skull,dwarf skeleton head
💀,Skull,spooky skeleton simulator
🌈,Rainbow,peace symbol
🌈,Rainbow,vertex symbol
🌈,Rainbow,peace corps
🌈,Rainbow,peacebuilding
☕,Hot Beverage,tea
🏠,House,my sweet home
🏠,House,my childhood home
🏠,House,my sweet dreams
🏠,House,come sweet home
🕰️,Mantelpiece Clock,ticking time
❤️,Red Heart,kindness and love
❤️,Red Heart,kindness and generosity
❤️,Red Heart,kindness and kindness
❤️,Red Heart,kindness of love
🧭,Compass,dial compass
🧭,Compass,dialog
🧭,Compass,polar compass
😴,Sleeping Face,time to go to bed
😴,Sleeping Face,time to get to bed
😴,Sleeping Face,time to go to work
🍎,Red Apple,apple
🍎,Red Apple,fruit
🕯️,Candle,soft flame
🕯️,Candle,softwood
😍,Smiling Face with Heart-Eyes,heart eyes only
😍,Smiling Face with Heart-Eyes,heart eyesight
😍,Smiling Face with Heart-Eyes,heart beat only
🧭,Compass,hiking gear
🧭,Compass,hiking tours
🧭,Compass,landing gear
🔑,Key,lock
📱,Mobile Phone,phone device
📱,Mobile Phone,phone calls
📱,Mobile Phone,mobile device
📱,Mobile Phone,mobile
🪒,Razor,blade
🪒,Razor,sharp blade
🪒,Razor,steel blade
🪒,Razor,sharpwood
🪒,Razor,razor blade
🚪,Door,house door
🚪,Door,housepage
🚪,Door,next door
🚪,Door,housewives
❤️,Red Heart,sweet love
❤️,Red Heart,sweet sixteen
❤️,Red Heart,sweet dreams
📸,Camera with Flash,taking a picture
📸,Camera with Flash,taking this picture
📸,Camera with Flash,shoot a picture
📸,Camera with Flash,taking a chance
🔑,Key,key opening
🔑,Key,grand opening
🔑,Key,season opening
🔑,Key,keywords
🥪,Sandwich,healthy bread layers
🥪,Sandwich,wheat bread layers
🥪,Sandwich,healthy bread pudding
🤣,Rolling on the Floor Laughing,ridiculous funny
🤣,Rolling on the Floor Laughing,ridiculousness
🧭,Compass,compass north
🧭,Compass,winnipeg north
🧭,Compass,dunedin north
🧭,Compass,further north
🔭,Telescope,telescope tool
🔭,Telescope,simulation tool
🔭,Telescope,telescopework
🔭,Telescope,telescope observatory
🎾,Tennis,tennis volley
🎾,Tennis,volley volley
🎾,Tennis,tennis tournament
🔥,Fire,flames of passion
🔥,Fire,flames and passion
🔥,Fire,songs of passion
🔥,Fire,flames of paradise
🔌,Electric Plug,plug
🤡,Clown Face,colorful face
🤡,Clown Face,doll face
🤡,Clown Face,poker face
🌈,Rainbow,after storm
🌈,Rainbow,afterword
🌈,Rainbow,desert storm
🧺,Basket,farm basket
🧺,Basket,tallinn basket
🧺,Basket,valencia basket
❄️,Snowflake,snow flake
❄️,Snowflake,strawberry flake
❄️,Snowflake,snowstorm
✂️,Scissors,paper
💔,Broken Heart,loss
🎈,Balloon,string and balloon
🎈,Balloon,balloon and balloon
🎈,Balloon,string and orchestra
🎈,Balloon,stringtail balloon
🏀,Basketball,basketball
😎,Smiling Face with Sunglasses,dark shades
😎,Smiling Face with Sunglasses,fifty shades
😎,Smiling Face with Sunglasses,blue shades
😊,Smiling Face with Smiling Eyes,a warm friendly smile
😊,Smiling Face with Smiling Eyes,a warm friendly climate
😊,Smiling Face with Smiling Eyes,a slightly friendly smile
😊,Smiling Face with Smiling Eyes,a warm friendly environment
🔑,Key,key house
🔑,Key,fisher house
✨,Sparkles,shining like a star
✨,Sparkles,looks like a star
✨,Sparkles,shining like another star
🍺,Beer Mug,friends beer
🍺,Beer Mug,friends club
🍺,Beer Mug,root beer
🔥,Fire,fire starter
🔥,Fire,firefly
🔥,Fire,denotes starter
🔥,Fire,fire brigade
🛳️,Passenger Ship,deck
🙏,Folded Hands,appreciative heart
🙏,Folded Hands,appreciativeness
🙏,Folded Hands,asking for a blessing
🙏,Folded Hands,pray for a blessing
🙏,Folded Hands,asking for a job
🙏,Folded Hands,asking for divine blessing
🧪,Test Tube,clear glass tube
🧪,Test Tube,stainless glass tube
🧪,Test Tube,clear glass window
🧪,Test Tube,clear vacuum tube
🚪,Door,wooden
🌍,Globe Showing Europe-Africa,geography earth
🌍,Globe Showing Europe-Africa,google earth
🌍,Globe Showing Europe-Africa,hello earth
🌍,Globe Showing Europe-Africa,geography department
🌍,Globe Showing Europe-Africa,earth from space
🌍,Globe Showing Europe-Africa,earth from afar
🌍,Globe Showing Europe-Africa,earth to space
🧺,Basket,farm
✈️,Airplane,flying flight
✈️,Airplane,flying circus
✈️,Airplane,flying fortress
✈️,Airplane,cabin
💊,Pill,healthcare treatment
💊,Pill,cancer treatment
💊,Pill,wastewater treatment
🍕,Pizza,ordering
🧺,Basket,storage
🍺,Beer Mug,social
🕰️,Mantelpiece Clock,clock classic
🕰️,Mantelpiece Clock,clockwork
🕰️,Mantelpiece Clock,clocktower
📏,Straight Ruler,precision tool
📏,Straight Ruler,precision arithmetic
📏,Straight Ruler,mapping tool
🚿,Shower,bath
🔦,Flashlight,beam
🔑,Key,security key
🔑,Key,security measures
🔑,Key,security services
🎁,Wrapped Gift,wrapped with a ribbon
🎁,Wrapped Gift,wrapped with silver ribbon
🎁,Wrapped Gift,ribbon with a ribbon
🎁,Wrapped Gift,wrapped with a rope
💔,Broken Heart,shattered
🧺,Basket,laundry
💰,Money Bag,money jackpot
💰,Money Bag,celebrity jackpot
💰,Money Bag,moneyball
💻,Laptop,working on computer
💻,Laptop,video on computer
📚,Books,piles of literature
📚,Books,faculty of literature
📚,Books,piles of rocks
📚,Books,piles of rubbish
🧬,DNA,code dna
🧬,DNA,codebase
🧬,DNA,codename
🚽,Toilet,bowl toilet
🚽,Toilet,portable toilet
🚽,Toilet,bowl iii
🔭,Telescope,astronomy hobby
🔭,Telescope,animal hobby
🔭,Telescope,astronomy observatory
🚪,Door,door frame
🚪,Door,door open
🚪,Door,wire frame
👍,Thumbs Up,great
💻,Laptop,internet
🔌,Electric Plug,wall
🧸,Teddy Bear,nursery
❄️,Snowflake,design
😎,Smiling Face with Sunglasses,boss mode
😎,Smiling Face with Sunglasses,bossier
😎,Smiling Face with Sunglasses,multiplayer mode
🛋️,Couch and Lamp,home decor
🛋️,Couch and Lamp,interior decor
🛋️,Couch and Lamp,home rule
🛋️,Couch and Lamp,homepage
😭,Loudly Crying Face,i am suffering
😭,Loudly Crying Face,i am alive
😭,Loudly Crying Face,i was suffering
😭,Loudly Crying Face,i remember suffering
🍦,Soft Serve,sun melting
🍦,Soft Serve,ozone melting
🍦,Soft Serve,snow melting
🍦,Soft Serve,sundar
🚽,Toilet,porcelain toilet
🚽,Toilet,porcelain porcelain
🚽,Toilet,flush toilet
🚽,Toilet,porcelain factory
💀,Skull,i am dead from laughter
💀,Skull,i lay dead from laughter
💀,Skull,me am dead from laughter
🗺️,World Map,study map
🗺️,World Map,google map
🗺️,World Map,study abroad
🗺️,World Map,digital map
🔌,Electric Plug,wire plug
🔌,Electric Plug,wireworm
🔌,Electric Plug,butt plug
🔌,Electric Plug,usb plug
🏮,Red Paper Lantern,asian
🛁,Bathtub,soap bath
🛁,Bathtub,soap opera
🛁,Bathtub,bubble bath
🙏,Folded Hands,requesting
🐶,Dog Face,dog pet
🐶,Dog Face,baby pet
🐶,Dog Face,penguin pet
💻,Laptop,technology
🧸,Teddy Bear,nursery decor
🧸,Teddy Bear,nursery rhymes
🧸,Teddy Bear,floral decor
🧸,Teddy Bear,interior decor
👍,Thumbs Up,ready
✏️,Pencil,creative
🛋️,Couch and Lamp,sofa couch
🛋️,Couch and Lamp,sofa lounge
🧭,Compass,instrument compass
🧭,Compass,instrument maker
🧭,Compass,compass compass
☀️,Sun,shining
📡,Satellite Antenna,modern tech
📡,Satellite Antenna,virginia tech
📡,Satellite Antenna,modern dance
⌚,Watch,watch minutes
⌚,Watch,30 minutes
⌚,Watch,watchdog
⌚,Watch,90 minutes
💡,Light Bulb,idea
🍎,Red Apple,classic garden fruit
🍎,Red Apple,classic sweet fruit
🍎,Red Apple,classic apple fruit
🍎,Red Apple,classic garden garden
💰,Money Bag,cash
😊,Smiling Face with Smiling Eyes,feeling happy and content
😊,Smiling Face with Smiling Eyes,feeling confident and content
😊,Smiling Face with Smiling Eyes,feeling happy feeling content
😊,Smiling Face with Smiling Eyes,feeling happy and alive
🕰️,Mantelpiece Clock,style
🔬,Microscope,microscope medical
🔬,Microscope,microscope microscopy
🛳️,Passenger Ship,water
🚪,Door,room
🧬,DNA,dna structure
🧬,DNA,dna sequencing
🧬,DNA,cellular structure
🧬,DNA,crystal structure
🪒,Razor,barber razor
🪒,Razor,black razor
🪒,Razor,barber shop
🚲,Bicycle,exercise
🕯️,Candle,candle warm
🕯️,Candle,summer warm
🕯️,Candle,candlewood
🕯️,Candle,very warm
🛋️,Couch and Lamp,sitting
🍺,Beer Mug,drinking beer
🍺,Beer Mug,drinking water
🍺,Beer Mug,drinking disorders
🍺,Beer Mug,rye beer
🧬,DNA,ancestry and genes
🧬,DNA,diseases and genes
🧬,DNA,genes and genes
🧬,DNA,ancestry index genes
🔭,Telescope,telescope exploration
🔭,Telescope,telescope array
🔭,Telescope,mineral exploration
🕰️,Mantelpiece Clock,timepiece
📂,Open File Folder,digital folder
📂,Open File Folder,outer folder
📂,Open File Folder,digital download
📂,Open File Folder,pdf folder
🖼️,Framed Picture,hanging artwork
🖼️,Framed Picture,hanging bells
💰,Money Bag,saving up coins
💰,Money Bag,saving silver coins
💰,Money Bag,saving 100 coins
⚽,Soccer Ball,team
🧼,Soap,washing soap
🧼,Soap,bbc soap
🧼,Soap,washing machine
🧼,Soap,daily soap
🔦,Flashlight,gear
🎸,Guitar,loud guitar
🎸,Guitar,acoustic guitar
🎸,Guitar,bass guitar
🎸,Guitar,loud noise
🏠,House,property
😊,Smiling Face with Smiling Eyes,simple joy and happiness
😊,Smiling Face with Smiling Eyes,simple joyous happiness
😊,Smiling Face with Smiling Eyes,eternal joy and happiness
😊,Smiling Face with Smiling Eyes,simple joy and sorrow
🍕,Pizza,dough pizza
🍕,Pizza,pizza pizza
🍕,Pizza,dougherty
🚲,Bicycle,cycling bike
🚲,Bicycle,dirt bike
🚲,Bicycle,electric bike
🚲,Bicycle,cycling australia
🛳️,Passenger Ship,ship vacation
🛳️,Passenger Ship,shipwright
🚗,Automobile,car motor
🚗,Automobile,electric motor
🚗,Automobile,honda motor
🚗,Automobile,yamaha motor
🔌,Electric Plug,machine
💰,Money Bag,making lots of money
💰,Money Bag,making lots of noises
💰,Money Bag,worth lots of money
💰,Money Bag,making lots less money
✂️,Scissors,office
🕯️,Candle,soft candle
🕯️,Candle,christmas candle
🌡️,Thermometer,medical checkup
🌡️,Thermometer,medical ethics
🌡️,Thermometer,medical sciences
🍔,Hamburger,classic american food
🍔,Hamburger,classic american songs
🍔,Hamburger,classic chinese food
🍔,Hamburger,latin american food
🏀,Basketball,basketball hoop
🏀,Basketball,golden hoop
🏀,Basketball,basketball tournament
🥪,Sandwich,toast
📑,Bookmark Tabs,tags
🛋️,Couch and Lamp,furniture
😊,Smiling Face with Smiling Eyes,smiling softly
😊,Smiling Face with Smiling Eyes,weep softly
😊,Smiling Face with Smiling Eyes,tread softly
📈,Chart Increasing,trend
🎁,Wrapped Gift,offering gift
🎁,Wrapped Gift,christmas gift
🎁,Wrapped Gift,parting gift
🎁,Wrapped Gift,offering services
✏️,Pencil,pencil school
✏️,Pencil,penciller
✏️,Pencil,high school
✏️,Pencil,pencil drawings
🔒,Locked,locked restricted
🔒,Locked,climate restricted
🔒,Locked,locked rooms
🗺️,World Map,map locations
🗺️,World Map,mapping
🗺️,World Map,map projection
🗺️,World Map,alternate locations
🔥,Fire,great job on the win
🔥,Fire,great emphasis on the win
🔥,Fire,great job on road win
🔥,Fire,great job on to win
🚲,Bicycle,bike health
💀,Skull,skull
❄️,Snowflake,freezing
📓,Notebook,writing
🔥,Fire,things are heating up
🔥,Fire,things are heating hot
🔥,Fire,things are screwed up
🔥,Fire,temperatures are heating up
🎾,Tennis,exercise
❄️,Snowflake,weather
📏,Straight Ruler,plastic
✏️,Pencil,lead
🎾,Tennis,match tennis
🎾,Tennis,match summary
🎾,Tennis,table tennis
🎾,Tennis,match play
🌈,Rainbow,bright happy
🌈,Rainbow,bright skies
🌈,Rainbow,jolly happy
⌚,Watch,watch formal
⌚,Watch,more formal
⌚,Watch,watchtower
⌚,Watch,less formal
🎈,Balloon,balloon birthday
🎈,Balloon,70th birthday
🎈,Balloon,100th birthday
🎈,Balloon,50th birthday
🧪,Test Tube,glass tube
🧪,Test Tube,glass house
🧪,Test Tube,glassware
🧪,Test Tube,lava tube
🧸,Teddy Bear,animal teddy
🧸,Teddy Bear,animal welfare
🤣,Rolling on the Floor Laughing,so funny
🤣,Rolling on the Floor Laughing,pretty funny
🤣,Rolling on the Floor Laughing,how funny
🤣,Rolling on the Floor Laughing,very funny
📍,Round Pushpin,here
🏮,Red Paper Lantern,asian culture
🏮,Red Paper Lantern,asian games
🏮,Red Paper Lantern,pop culture
🏮,Red Paper Lantern,popular culture
🔒,Locked,secure and private
🔒,Locked,secure and reliable
🔒,Locked,parochial and private
🤡,Clown Face,acting foolish
🤡,Clown Face,acting class
🤡,Clown Face,be foolish
🤡,Clown Face,foolish foolish
🍷,Wine Glass,dinner wine
🍷,Wine Glass,dinner party
🍷,Wine Glass,dinnertime
🚀,Rocket,growth progress
🚀,Rocket,overall progress
🚀,Rocket,chart progress
🚀,Rocket,growth rates
🌈,Rainbow,rainbow sky
🌈,Rainbow,grey sky
🌈,Rainbow,vanilla sky
🖋️,Fountain Pen,fancy
🥳,Partying Face,special occasion celebration
🥳,Partying Face,special anniversary celebration
🥳,Partying Face,official occasion celebration
🥳,Partying Face,grand occasion celebration
🔭,Telescope,telescope sky
🔭,Telescope,blue sky
🔭,Telescope,vanilla sky
🐱,Cat Face,meowing
🏀,Basketball,dunking
🔬,Microscope,scientific research
🔬,Microscope,scientific journals
🔬,Microscope,scientific publications
✨,Sparkles,magical moment
✨,Sparkles,critical moment
✨,Sparkles,magical realism
📑,Bookmark Tabs,tab markers
📑,Bookmark Tabs,boundary markers
📑,Bookmark Tabs,tabriz
📑,Bookmark Tabs,tabora
😎,Smiling Face with Sunglasses,ice
🪒,Razor,safety razor
🪒,Razor,steel razor
🪒,Razor,safety indicators
🍔,Hamburger,lunch
🔭,Telescope,astronomy
☀️,Sun,solar energy source
☀️,Sun,solar energy corporation
☀️,Sun,primary energy source
☀️,Sun,solar power source
✂️,Scissors,tool
🥳,Partying Face,loud cheers
🥳,Partying Face,cheers cheers
🥳,Partying Face,loudmouth
🥳,Partying Face,loud noise
📏,Straight Ruler,ruler geometry
📏,Straight Ruler,differential geometry
📏,Straight Ruler,computational geometry
📏,Straight Ruler,rulerdom
🚂,Locomotive,train rail
🚂,Locomotive,commuter rail
🚂,Locomotive,light rail
🚂,Locomotive,via rail
🔥,Fire,super hot trending topic
🔥,Fire,google hot trending topic
🔥,Fire,super hot trending website
🔥,Fire,super hot chocolate topic
🔒,Locked,restricted access
🔒,Locked,public access
🔒,Locked,restricted zone
🔒,Locked,restricted areas
🕰️,Mantelpiece Clock,clock time
🕰️,Mantelpiece Clock,clock tower
🕰️,Mantelpiece Clock,prime time
🕯️,Candle,warm
📱,Mobile Phone,pocket
🚲,Bicycle,bike transport
🚲,Bicycle,rail transport
🔒,Locked,restricted lock
🔒,Locked,sutton lock
🔒,Locked,box lock
📈,Chart Increasing,business chart
📈,Chart Increasing,businessweek
📈,Chart Increasing,track chart
💔,Broken Heart,sad vibes
💔,Broken Heart,sadhu
💔,Broken Heart,ghetto vibes
💔,Broken Heart,sadhana
😭,Loudly Crying Face,mourning a loss
😭,Loudly Crying Face,mourning a woman
😭,Loudly Crying Face,denotes a loss
🔌,Electric Plug,plug outlet
🔌,Electric Plug,plugging
🔌,Electric Plug,sears outlet
🍕,Pizza,tomato
📱,Mobile Phone,using a smartphone
📱,Mobile Phone,using google smartphone
📱,Mobile Phone,using a matrix
📸,Camera with Flash,capturing the moment
📸,Camera with Flash,enjoy the moment
📸,Camera with Flash,capturing the castle
🔬,Microscope,discovery
✨,Sparkles,fresh and clean
✨,Sparkles,neat and clean
✨,Sparkles,fresh and fresh
✨,Sparkles,fresh and sunny
🥳,Partying Face,loud cheers and fun
🥳,Partying Face,loudness and fun
🥳,Partying Face,loud laughter and fun
🥳,Partying Face,loud cheers and applause
💡,Light Bulb,lightfoot
😎,Smiling Face with Sunglasses,stylish and trendy
😎,Smiling Face with Sunglasses,stylish or trendy
😎,Smiling Face with Sunglasses,casual and trendy
🛋️,Couch and Lamp,relaxing couch
🛋️,Couch and Lamp,rocking couch
🛋️,Couch and Lamp,flip couch
🥗,Green Salad,salad vegetable
🥗,Green Salad,potato vegetable
🥗,Green Salad,salad dressing
🙏,Folded Hands,please
🎈,Balloon,air balloon
🎈,Balloon,balloon balloon
🎈,Balloon,air force
🎈,Balloon,helium balloon
🖋️,Fountain Pen,artist tool
🖋️,Fountain Pen,artist award
🖋️,Fountain Pen,learning tool
🚀,Rocket,ambitious goals
🚀,Rocket,field goals
🚀,Rocket,away goals
🖼️,Framed Picture,frame painting
🖼️,Framed Picture,oil painting
🖼️,Framed Picture,frame diagram
🖼️,Framed Picture,landscape painting
🐱,Cat Face,meowing for food
🐱,Cat Face,meowing for thee
🐱,Cat Face,meowing rotten food
🐱,Cat Face,hungry for food
😂,Face with Tears of Joy,hilarious stuff
😂,Face with Tears of Joy,weird stuff
😂,Face with Tears of Joy,fancy stuff
🌍,Globe Showing Europe-Africa,community
🔦,Flashlight,beam of light
🔦,Flashlight,beam of lights
🔦,Flashlight,beam beam light
🔦,Flashlight,beam of electricity
💔,Broken Heart,grief vibes
💔,Broken Heart,cool vibes
💔,Broken Heart,bad vibes
🛁,Bathtub,spot
🏠,House,living home
🏠,House,at home
🏠,House,living spaces
🛏️,Bed,cozy bed
🛏️,Bed,bunk bed
🛏️,Bed,empty bed
🛏️,Bed,feather bed
🧼,Soap,germ
🏠,House,neighborhood living
🏠,House,neighborhood council
🏠,House,sustainable living
☀️,Sun,sunny
😂,Face with Tears of Joy,that killed me
😂,Face with Tears of Joy,that scares me
😂,Face with Tears of Joy,he killed me
🍕,Pizza,dough
📍,Round Pushpin,tracking the spot
📍,Round Pushpin,tracking blind spot
📍,Round Pushpin,tracking the future
📍,Round Pushpin,on the spot
🧸,Teddy Bear,cute gift
🧸,Teddy Bear,cute bunny
🧸,Teddy Bear,christmas gift
👍,Thumbs Up,well played
👍,Thumbs Up,match played
👍,Thumbs Up,well done
👍,Thumbs Up,matches played
🪒,Razor,accessory
🍦,Soft Serve,treat
🌈,Rainbow,hope pride
🌈,Rainbow,gay pride
🌈,Rainbow,hopewell
🌈,Rainbow,national pride
🏮,Red Paper Lantern,glow
🍰,Shortcake,sweet dessert treat
🍰,Shortcake,sweet dessert cake
